AL,4779736.00
AK,710231.00
AZ,6392017.00
AR,2915918.00
CA,37253956.00
CO,5029196.00
CT,3574097.00
DE,897934.00
FL,18801310.00
GA,9687653.00
HI,1360301.00
ID,1567582.00
IL,12830632.00
IN,6483802.00
IA,3046355.00
KS,2853118.00
KY,4339367.00
LA,4533372.00
ME,1328361.00
MD,5773552.00
MA,6547629.00
MI,9883640.00
MN,5303925.00
MS,2967297.00
MO,5988927.00
MT,989415.00
NE,1826341.00
NV,2700551.00
NH,1316470.00
NJ,8791894.00
NM,2059179.00
NY,19378102.00
NC,9535483.00
ND,672591.00
OH,11536504.00
OK,3751351.00
OR,3831074.00
PA,12702379.00
RI,1052567.00
SC,4625364.00
SD,814180.00
TN,6346105.00
TX,25145561.00
UT,2763885.00
VT,625741.00
VA,8001024.00
WA,6724540.00
WV,1852994.00
WI,5686986.00
WY,563626.00
